date,exchange_rate,inflation,google_trends,disruption_score,arrivals_lag1,arrivals_lag2,arrivals_lag3,arrivals_lag12,exchange_rate_lag1,exchange_rate_lag2,inflation_lag1,inflation_lag2,trends_lag1,trends_lag2,disruption_lag1,month_sin,month_cos,is_peak_season,quarter,arrivals,split
2020-10-01,0.05121436114044342,0.05386740331491713,0.04629629629629628,0.5,0.0,0.0,0.0,0.46899106920673544,0.04910242872228099,0.05121436114044342,0.03729281767955801,0.03729281767955801,0.12037037037037035,0.14814814814814814,0.6000000000000001,0.0669872981077807,0.75,0.0,1.0,0,train
2020-11-01,0.05068637803590281,0.06215469613259668,0.01851851851851849,0.5,0.0,0.0,0.0,0.6990745312419767,0.05121436114044342,0.04910242872228099,0.05386740331491713,0.03729281767955801,0.04629629629629628,0.12037037037037035,0.5,0.24999999999999978,0.9330127018922192,0.0,1.0,0,train
2020-12-01,0.05491024287222812,0.0718232044198895,0.1296296296296296,0.5,0.0,0.0,0.0,0.954552097610687,0.05068637803590281,0.05121436114044342,0.06215469613259668,0.05386740331491713,0.01851851851851849,0.04629629629629628,0.5,0.4999999999999999,1.0,1.0,1.0,393,train
2021-01-01,0.08183738120380146,0.06077348066298342,0.20370370370370366,0.5,0.0015523227567356193,0.0,0.0,0.9022984646619453,0.05491024287222812,0.05068637803590281,0.0718232044198895,0.06215469613259668,0.1296296296296296,0.01851851851851849,0.5,0.75,0.9330127018922194,1.0,0.0,1682,train
2021-02-01,0.10137275607180574,0.05801104972375691,0.2407407407407407,0.5,0.006643783401601302,0.0015523227567356193,0.0,0.8196382653484432,0.08183738120380146,0.05491024287222812,0.06077348066298342,0.0718232044198895,0.20370370370370366,0.1296296296296296,0.5,0.9330127018922193,0.75,1.0,0.0,3366,train
2021-03-01,0.11510031678986288,0.0511049723756906,0.2314814814814814,0.5,0.013295466664560038,0.006643783401601302,0.0015523227567356193,0.28190655254000296,0.10137275607180574,0.08183738120380146,0.05801104972375691,0.06077348066298342,0.2407407407407407,0.20370370370370366,0.5,1.0,0.5,1.0,0.0,4581,train
2021-04-01,0.129883843717001,0.04972375690607736,0.287037037037037,0.5,0.018094632439200693,0.013295466664560038,0.006643783401601302,0.0,0.11510031678986288,0.10137275607180574,0.0511049723756906,0.05801104972375691,0.2314814814814814,0.2407407407407407,0.5,0.9330127018922194,0.2500000000000001,0.0,0.3333333333333333,4168,train
2021-05-01,0.13674762407602958,0.046961325966850834,0.08333333333333331,0.5,0.01646331106889074,0.018094632439200693,0.013295466664560038,0.0,0.129883843717001,0.11510031678986288,0.04972375690607736,0.0511049723756906,0.287037037037037,0.2314814814814814,0.5,0.75,0.06698729810778065,0.0,0.3333333333333333,1497,train
2021-06-01,0.12618796198521653,0.056629834254143654,0.03703703703703698,0.5,0.005913046226038734,0.01646331106889074,0.018094632439200693,0.0,0.13674762407602958,0.129883843717001,0.046961325966850834,0.04972375690607736,0.08333333333333331,0.287037037037037,0.5,0.5000000000000001,0.0,0.0,0.3333333333333333,1614,train
2021-07-01,0.12302006335797266,0.06077348066298342,0.14814814814814814,0.4,0.006375188115448575,0.005913046226038734,0.01646331106889074,0.0,0.12618796198521653,0.13674762407602958,0.056629834254143654,0.046961325966850834,0.03703703703703698,0.08333333333333331,0.5,0.2500000000000001,0.06698729810778059,0.0,0.6666666666666667,2429,train
